Fix1 Fix2 Rndm_FY Rndm_PE Rndm_Animal Phenotype_Circular Phenotype_Continuous
2 5 67 107 12704 2.289 2.289
3 4 50 107 12704 1.496 1.496
1 2 73 108 6103 0.916 7.199
2 3 74 108 6103 3.095 3.095
3 4 75 108 6103 5.424 5.424
3 3 76 108 6103 4.340 4.340
1 1 49 109 6102 2.558 8.841
2 5 67 109 6102 0.684 6.967
1 2 75 110 12703 3.659 3.659
2 5 77 110 12703 4.330 4.330
5 5 78 110 12703 1.112 1.112
6 2 78 111 12702 5.036 5.036
1 2 49 112 12701 2.203 2.203
1 1 79 113 6101 5.421 5.421
1 5 51 113 6101 3.197 3.197
2 5 58 113 6101 2.556 2.556
3 3 64 113 6101 5.245 5.245
3 4 65 113 6101 2.409 2.409
5 5 80 113 6101 4.128 4.128
5 3 74 113 6101 2.790 2.790
6 3 81 113 6101 2.130 2.130
1 2 73 114 12700 3.847 3.847
2 3 74 114 12700 3.808 3.808
2 3 81 114 12700 1.288 1.288
4 5 82 114 12700 5.392 5.392
6 5 78 114 12700 4.369 4.369
6 2 51 115 12699 5.164 5.164
6 4 83 115 12699 2.982 2.982
1 1 52 116 12698 4.744 4.744
1 5 80 116 12698 4.657 4.657
2 4 74 116 12698 2.668 2.668
3 4 81 116 12698 4.879 -1.404
3 4 84 116 12698 1.914 1.914
4 4 82 116 12698 2.239 2.239
1 2 68 117 12697 2.506 2.506
2 3 50 117 12697 0.193 0.193
4 2 70 118 6100 2.636 2.636
4 4 71 118 6100 3.468 3.468
5 4 62 118 6100 3.024 3.024
6 4 63 118 6100 4.387 4.387
6 5 54 118 6100 2.413 2.413
6 4 60 118 6100 3.132 3.132
6 3 61 118 6100 2.755 2.755
6 4 85 118 6100 5.918 5.918
1 2 67 119 12696 1.043 1.043
2 4 50 119 12696 0.082 0.082
4 5 78 119 12696 1.486 1.486
1 2 73 120 6099 3.654 3.654
2 3 86 120 6099 3.148 3.148
3 5 84 120 6099 5.806 5.806
2 2 71 121 3688 3.972 3.972
3 4 62 121 3688 2.570 2.570
4 4 63 121 3688 4.091 4.091
4 3 64 121 3688 5.122 5.122
3 2 59 122 12695 3.756 3.756
3 3 55 122 12695 1.901 1.901
1 2 67 123 12694 2.564 2.564
