Fix1 Fix2 Rndm_FY Rndm_PE Rndm_Animal Phenotype_Circular Phenotype_Continuous
3 4 634 3578 1320 2.934 2.934
3 3 585 3578 1320 2.070 8.353
4 4 586 3578 1320 5.400 5.400
5 4 610 3578 1320 4.052 4.052
6 4 607 3578 1320 4.701 4.701
1 2 633 3579 1691 1.625 7.908
2 4 633 3579 1691 0.942 7.226
3 4 634 3579 1691 4.743 4.743
3 2 585 3579 1691 5.761 5.761
6 5 598 3579 1691 4.343 4.343
6 4 599 3579 1691 6.248 6.248
6 3 600 3579 1691 1.662 7.946
1 2 642 3580 10537 3.183 3.183
2 4 638 3580 10537 5.414 5.414
4 5 585 3580 10537 2.301 2.301
6 5 615 3580 10537 3.281 3.281
6 4 588 3580 10537 4.565 4.565
6 4 611 3580 10537 3.945 3.945
6 3 612 3580 10537 3.787 3.787
1 2 632 3581 5423 2.142 2.142
2 4 660 3581 5423 5.852 5.852
3 4 634 3581 5423 2.651 2.651
3 3 585 3581 5423 2.707 2.707
4 4 586 3581 5423 2.658 2.658
5 4 597 3581 5423 2.907 2.907
5 4 607 3581 5423 3.620 3.620
6 4 598 3581 5423 2.661 2.661
6 4 595 3581 5423 5.116 5.116
1 2 498 3582 10536 3.790 3.790
1 4 37 3582 10536 4.424 4.424
1 1 648 3583 10535 5.883 5.883
1 4 33 3583 10535 5.920 -0.364
1 2 627 3584 5422 2.099 8.383
2 3 628 3584 5422 4.892 4.892
3 4 691 3584 5422 4.190 4.190
4 4 667 3584 5422 4.485 4.485
4 4 585 3584 5422 1.456 7.739
5 4 586 3584 5422 3.236 3.236
6 5 587 3584 5422 1.860 8.143
6 5 598 3584 5422 4.381 4.381
1 2 641 3585 10534 3.561 3.561
2 5 632 3585 10534 2.139 2.139
3 4 660 3585 10534 5.127 5.127
4 5 586 3585 10534 2.448 2.448
5 4 601 3585 10534 3.008 3.008
1 1 673 3586 1057 0.122 6.405
1 4 472 3586 1057 3.580 3.580
2 4 38 3586 1057 6.065 6.065
1 2 33 3587 10533 4.857 4.857
3 5 653 3587 10533 5.653 5.653
3 4 504 3587 10533 1.651 1.651
1 2 491 3588 10532 3.845 3.845
2 5 502 3588 10532 1.886 1.886
3 4 627 3588 10532 2.324 2.324
3 3 628 3588 10532 0.823 0.823
4 4 636 3588 10532 0.804 0.804
5 4 629 3588 10532 2.567 2.567
1 2 632 3589 2315 4.572 4.572
3 5 634 3589 2315 2.045 2.045
3 3 585 3589 2315 0.816 0.816
4 5 616 3589 2315 2.503 2.503
5 5 594 3589 2315 2.221 2.221
1 2 32 3590 10531 2.656 2.656
3 5 34 3590 10531 0.909 0.909
1 2 33 3591 3344 0.266 6.549
2 3 34 3591 3344 3.126 9.410
3 4 626 3591 3344 2.274 8.557
3 4 504 3591 3344 0.481 6.764
4 3 630 3591 3344 5.782 5.782
5 4 628 3591 3344 2.139 8.422
5 4 636 3591 3344 2.831 9.114
6 4 637 3591 3344 2.017 8.300
6 3 634 3591 3344 5.110 5.110
6 4 614 3591 3344 5.313 5.313
6 4 615 3591 3344 2.081 8.365
2 2 632 3592 10530 2.054 2.054
4 5 585 3592 10530 1.918 1.918
5 4 586 3592 10530 1.110 1.110
6 4 597 3592 10530 5.664 -0.619
6 4 587 3592 10530 2.824 2.824
2 2 628 3593 10529 5.129 5.129
3 4 691 3593 10529 4.407 4.407
4 4 667 3593 10529 2.411 2.411
6 2 252 3594 10528 1.950 1.950
1 2 632 3595 10527 2.821 2.821
1 2 477 3596 1319 0.715 6.999
1 2 37 3596 1319 4.711 4.711
2 4 31 3596 1319 3.587 3.587
3 4 481 3596 1319 3.017 3.017
3 4 648 3596 1319 5.371 5.371
1 1 37 3597 10526 1.808 8.091
1 4 488 3597 10526 2.553 2.553
1 2 494 3598 3343 3.814 3.814
1 4 501 3598 3343 4.236 4.236
2 4 491 3598 3343 0.993 0.993
3 4 640 3598 3343 4.359 4.359
4 4 641 3598 3343 5.312 5.312
4 4 657 3598 3343 3.973 3.973
5 4 636 3598 3343 3.333 3.333
1 2 627 3599 5421 2.588 2.588
2 4 628 3599 5421 3.909 3.909
2 2 667 3600 5420 4.618 4.618
1 2 474 3601 10525 2.556 2.556
2 3 494 3601 10525 3.503 3.503
2 4 495 3601 10525 5.190 5.190
3 4 499 3601 10525 3.422 3.422
4 3 36 3601 10525 2.347 2.347
5 5 642 3601 10525 3.449 3.449
3 2 642 3602 2314 1.909 1.909
4 4 638 3602 2314 4.212 4.212
1 2 633 3603 10524 5.767 5.767
1 2 627 3604 10523 3.418 3.418
1 2 642 3605 2313 3.757 3.757
2 4 638 3605 2313 5.923 5.923
4 5 667 3605 2313 3.557 3.557
4 4 585 3605 2313 3.164 3.164
5 4 586 3605 2313 2.270 2.270
6 5 594 3605 2313 1.377 1.377
6 4 595 3605 2313 4.880 4.880
1 2 632 3606 5419 0.776 7.059
2 4 660 3606 5419 4.185 4.185
3 4 634 3606 5419 2.607 2.607
1 2 632 3607 5418 5.120 5.120
3 5 585 3607 5418 3.593 3.593
4 4 601 3607 5418 4.951 4.951
4 3 602 3607 5418 5.047 5.047
5 4 587 3607 5418 4.101 4.101
6 4 598 3607 5418 3.083 3.083
6 5 608 3607 5418 4.543 4.543
6 5 252 3607 5418 4.292 4.292
1 2 491 3608 10522 4.344 4.344
1 2 641 3609 3342 6.040 6.040
2 5 631 3609 3342 2.691 2.691
2 4 632 3609 3342 4.735 4.735
4 5 667 3609 3342 4.368 4.368
4 4 585 3609 3342 5.192 5.192
5 4 601 3609 3342 0.271 6.555
6 3 602 3609 3342 5.525 5.525
1 2 627 3610 5417 2.205 2.205
2 4 638 3610 5417 2.243 2.243
4 5 674 3610 5417 2.988 2.988
4 4 585 3610 5417 1.809 1.809
5 5 616 3610 5417 1.144 1.144
1 2 632 3611 3341 4.214 4.214
2 5 667 3611 3341 2.167 2.167
3 4 585 3611 3341 3.426 3.426
5 5 610 3611 3341 3.367 3.367
5 4 607 3611 3341 0.459 6.743
6 4 598 3611 3341 5.220 5.220
6 4 590 3611 3341 3.755 3.755
6 3 591 3611 3341 0.778 0.778
6 4 149 3611 3341 4.420 4.420
1 2 627 3612 2312 2.944 2.944
2 5 632 3612 2312 1.548 1.548
3 5 637 3612 2312 3.464 3.464
4 4 634 3612 2312 2.468 2.468
1 2 498 3613 2311 1.266 1.266
1 4 37 3613 2311 3.370 3.370
2 4 31 3613 2311 3.309 3.309
3 5 474 3613 2311 3.190 3.190
4 4 35 3613 2311 1.998 1.998
4 4 495 3613 2311 3.346 3.346
5 4 499 3613 2311 1.822 1.822
6 5 504 3613 2311 1.552 1.552
1 2 494 3614 5416 2.512 2.512
1 4 501 3614 5416 4.724 4.724
2 4 491 3614 5416 3.208 3.208
3 4 640 3614 5416 4.184 4.184
4 3 641 3614 5416 2.875 2.875
4 4 657 3614 5416 3.907 3.907
5 4 632 3614 5416 2.404 2.404
1 2 491 3615 2310 2.152 2.152
2 4 640 3615 2310 4.170 4.170
1 2 627 3616 2309 1.943 8.226
1 2 493 3617 862 4.533 4.533
2 3 521 3617 862 3.330 3.330
2 4 488 3617 862 2.250 2.250
1 1 648 3618 10521 3.901 3.901
1 2 661 3619 1056 0.186 6.469
2 4 654 3619 1056 0.055 6.338
3 4 692 3619 1056 3.536 3.536
3 4 244 3619 1056 4.251 4.251
4 3 231 3619 1056 2.362 2.362
4 4 232 3619 1056 5.282 5.282
5 3 238 3619 1056 4.696 4.696
6 3 212 3619 1056 4.738 4.738
6 4 216 3619 1056 3.206 3.206
6 3 215 3619 1056 3.967 3.967
6 3 208 3619 1056 1.058 7.342
6 3 209 3619 1056 0.638 6.921
1 2 501 3620 3340 4.759 4.759
2 5 653 3620 3340 4.813 4.813
3 4 641 3620 3340 3.083 3.083
3 4 642 3620 3340 4.651 4.651
4 4 638 3620 3340 0.908 7.191
5 5 629 3620 3340 4.998 4.998
6 4 671 3620 3340 3.452 3.452
6 4 614 3620 3340 2.817 2.817
6 4 615 3620 3340 4.763 4.763
6 4 588 3620 3340 0.164 6.447
6 4 605 3620 3340 3.980 3.980
1 2 632 3621 10520 1.880 1.880
3 5 585 3621 10520 3.343 3.343
4 4 601 3621 10520 3.358 3.358
4 4 602 3621 10520 2.016 2.016
1 2 498 3622 3339 3.754 3.754
2 5 31 3622 3339 3.883 3.883
3 5 474 3622 3339 2.290 2.290
4 3 35 3622 3339 2.045 2.045
4 4 495 3622 3339 5.968 -0.315
5 5 626 3622 3339 5.055 5.055
1 2 474 3623 5415 2.356 2.356
2 4 35 3623 5415 2.670 2.670
2 4 495 3623 5415 2.266 2.266
3 4 499 3623 5415 4.695 4.695
4 4 502 3623 5415 0.179 6.462
5 5 627 3623 5415 3.291 3.291
2 2 506 3624 10519 5.721 5.721
1 2 632 3625 10518 5.991 5.991
3 5 585 3625 10518 2.609 2.609
5 5 610 3625 10518 2.759 2.759
5 4 607 3625 10518 6.104 6.104
6 4 612 3625 10518 3.923 3.923
6 3 599 3625 10518 3.359 3.359
6 5 252 3625 10518 3.146 3.146
6 4 253 3625 10518 5.750 5.750
1 2 648 3626 5414 3.345 3.345
2 4 33 3626 5414 3.042 3.042
3 4 506 3626 5414 4.005 4.005
1 2 632 3627 10517 3.940 3.940
2 5 629 3627 10517 2.912 2.912
3 3 671 3627 10517 2.562 2.562
1 2 491 3628 5413 5.605 -0.679
2 4 36 3628 5413 0.960 0.960
2 4 503 3628 5413 0.471 0.471
3 3 657 3628 5413 1.800 1.800
4 4 627 3628 5413 3.771 3.771
4 4 675 3628 5413 2.458 2.458
5 4 667 3628 5413 2.223 2.223
6 4 585 3628 5413 2.466 2.466
1 2 632 3629 10515 0.021 6.304
1 2 642 3630 5412 5.623 5.623
2 4 638 3630 5412 0.538 6.822
4 5 667 3630 5412 5.253 5.253
4 4 585 3630 5412 0.346 6.630
1 2 632 3631 10514 3.296 3.296
4 5 615 3631 10514 3.266 3.266
1 2 641 3632 5411 5.539 -0.744
2 5 657 3632 5411 2.242 2.242
2 4 632 3632 5411 1.579 1.579
3 4 660 3632 5411 3.047 3.047
4 4 674 3632 5411 4.186 4.186
4 3 585 3632 5411 2.899 2.899
1 2 632 3633 10513 3.552 3.552
2 5 634 3633 10513 5.725 -0.559
4 5 586 3633 10513 3.631 3.631
6 5 605 3633 10513 4.831 -1.452
6 4 609 3633 10513 4.359 4.359
2 2 31 3634 3338 3.538 3.538
3 5 474 3634 3338 3.609 3.609
4 4 35 3634 3338 1.290 1.290
4 4 495 3634 3338 0.059 6.342
6 5 36 3634 3338 4.620 4.620
6 4 503 3634 3338 3.081 3.081
6 3 657 3634 3338 4.406 4.406
6 4 633 3634 3338 4.236 4.236
6 5 634 3634 3338 1.239 1.239
5 2 693 3635 5410 4.147 4.147
6 4 694 3635 5410 5.369 5.369
6 4 695 3635 5410 2.283 2.283
6 3 696 3635 5410 1.830 1.830
1 2 632 3636 5409 0.535 0.535
1 2 493 3637 681 2.711 2.711
2 4 473 3637 681 1.404 1.404
2 3 505 3637 681 0.358 0.358
4 5 35 3637 681 3.503 3.503
4 4 495 3637 681 3.890 3.890
6 5 653 3637 681 2.807 2.807
6 4 641 3637 681 2.808 2.808
6 4 642 3637 681 1.367 1.367
6 4 638 3637 681 4.844 4.844
6 5 629 3637 681 4.497 4.497
6 4 671 3637 681 2.732 2.732
6 5 616 3637 681 1.071 1.071
1 2 490 3638 10512 1.341 1.341
1 2 494 3639 10511 3.659 3.659
1 3 501 3639 10511 3.069 3.069
2 5 499 3639 10511 4.533 4.533
1 2 632 3640 10509 4.808 4.808
2 5 667 3640 10509 2.268 2.268
3 4 585 3640 10509 1.207 1.207
4 4 586 3640 10509 2.581 2.581
4 4 597 3640 10509 1.473 1.473
5 4 607 3640 10509 1.339 1.339
6 4 598 3640 10509 2.021 2.021
6 3 599 3640 10509 5.257 5.257
6 3 600 3640 10509 5.349 5.349
6 4 252 3640 10509 3.497 3.497
6 3 253 3640 10509 5.001 5.001
1 2 632 3641 5408 4.208 4.208
2 3 660 3641 5408 4.843 4.843
2 4 674 3641 5408 4.597 4.597
3 4 585 3641 5408 4.902 4.902
4 4 586 3641 5408 4.722 4.722
5 5 588 3641 5408 0.167 6.450
6 5 595 3641 5408 3.774 3.774
1 2 627 3642 10508 4.209 4.209
1 2 632 3643 10507 1.423 7.706
2 4 660 3643 10507 2.245 8.528
3 5 585 3643 10507 5.470 5.470
4 5 615 3643 10507 6.278 6.278
1 2 506 3644 10506 2.383 2.383
1 2 503 3645 3337 3.271 3.271
1 3 657 3645 3337 5.299 5.299
2 4 627 3645 3337 2.491 2.491
3 4 675 3645 3337 2.544 2.544
4 5 674 3645 3337 3.625 3.625
4 3 585 3645 3337 4.322 4.322
5 4 601 3645 3337 1.903 1.903
1 2 632 3646 3336 3.854 3.854
2 2 491 3647 5407 5.263 5.263
3 3 653 3647 5407 3.414 3.414
3 4 641 3647 5407 4.998 4.998
4 4 642 3647 5407 5.130 5.130
1 1 505 3648 1690 5.649 5.649
1 4 32 3648 1690 0.228 6.511
2 4 506 3648 1690 4.485 4.485
3 4 34 3648 1690 4.499 4.499
4 5 502 3648 1690 5.048 5.048
5 3 630 3648 1690 5.169 5.169
5 3 631 3648 1690 4.473 4.473
6 3 632 3648 1690 1.808 8.091
6 5 637 3648 1690 0.610 6.894
6 4 634 3648 1690 5.492 5.492
1 1 648 3649 10505 0.018 6.302
1 2 672 3650 10504 3.570 3.570
4 5 677 3650 10504 0.627 0.627
5 5 678 3650 10504 4.349 4.349
1 2 632 3651 10503 4.970 4.970
1 2 632 3652 3335 2.749 2.749
2 4 660 3652 3335 5.799 5.799
3 5 585 3652 3335 4.117 4.117
1 2 661 3653 1318 5.380 5.380
2 5 654 3653 1318 0.842 7.125
2 4 665 3653 1318 2.961 2.961
3 3 227 3653 1318 1.609 1.609
4 4 231 3653 1318 3.556 3.556
4 4 232 3653 1318 4.816 4.816
5 3 238 3653 1318 3.740 3.740
6 3 212 3653 1318 3.277 3.277
6 4 216 3653 1318 6.155 6.155
1 2 627 3654 5406 5.428 5.428
2 4 628 3654 5406 3.923 3.923
1 2 627 3655 2308 3.628 3.628
2 4 628 3655 2308 2.910 2.910
1 2 31 3656 10502 2.533 2.533
2 5 474 3656 10502 1.539 1.539
3 4 35 3656 10502 5.444 5.444
3 4 489 3656 10502 6.011 6.011
4 4 499 3656 10502 6.028 6.028
5 4 502 3656 10502 3.694 3.694
6 3 503 3656 10502 3.422 3.422
6 3 657 3656 10502 0.969 7.252
1 2 503 3657 5405 1.249 1.249
1 2 503 3658 5404 2.233 2.233
1 3 657 3658 5404 3.594 3.594
1 2 33 3659 10501 3.557 3.557
2 4 506 3659 10501 5.259 5.259
1 2 632 3660 5403 4.314 4.314
2 5 629 3660 5403 1.622 1.622
3 4 671 3660 5403 2.133 2.133
3 4 618 3660 5403 5.495 -0.788
4 4 602 3660 5403 4.103 4.103
5 4 587 3660 5403 5.133 5.133
1 2 627 3661 10499 4.246 4.246
2 5 632 3661 10499 5.615 5.615
3 4 633 3661 10499 4.708 4.708
1 2 642 3662 10498 5.501 5.501
1 2 627 3663 10497 1.972 1.972
1 2 627 3664 1055 3.444 3.444
2 5 632 3664 1055 2.332 2.332
4 5 586 3664 1055 2.272 2.272
5 3 618 3664 1055 0.031 0.031
1 1 505 3665 1317 5.310 5.310
1 3 32 3665 1317 1.681 1.681
2 4 506 3665 1317 1.674 1.674
3 4 34 3665 1317 0.870 7.153
4 5 504 3665 1317 2.173 2.173
5 5 642 3665 1317 3.402 3.402
1 2 33 3666 10496 1.947 1.947
2 3 34 3666 10496 3.068 3.068
3 4 626 3666 10496 3.133 3.133
3 4 502 3666 10496 2.754 2.754
5 5 631 3666 10496 0.464 0.464
5 4 636 3666 10496 1.561 1.561
1 2 627 3667 5402 1.226 1.226
2 4 628 3667 5402 2.374 2.374
3 4 691 3667 5402 6.270 -0.013
4 5 637 3667 5402 2.167 2.167
1 2 642 3668 10495 4.457 4.457
1 2 627 3669 10494 0.375 0.375
2 3 628 3669 10494 0.525 0.525
1 1 505 3670 1316 6.069 6.069
1 4 32 3670 1316 4.352 4.352
1 2 627 3671 10493 6.175 6.175
2 4 628 3671 10493 4.871 4.871
1 2 627 3672 10492 4.064 4.064
2 5 632 3672 10492 1.351 1.351
1 2 627 3673 5401 6.062 6.062
2 5 636 3673 5401 3.592 3.592
3 5 667 3673 5401 2.689 2.689
1 2 632 3674 5400 0.021 6.304
1 2 494 3675 5399 2.790 2.790
1 4 495 3675 5399 4.567 4.567
2 4 491 3675 5399 2.508 2.508
3 4 635 3675 5399 1.118 1.118
1 2 642 3676 2307 3.270 3.270
2 4 627 3676 2307 2.142 2.142
4 5 671 3676 2307 2.798 2.798
1 2 627 3677 5398 2.858 2.858
2 4 628 3677 5398 3.178 3.178
3 5 667 3677 5398 1.578 1.578
4 4 586 3677 5398 2.294 2.294
5 5 615 3677 5398 2.407 2.407
6 4 588 3677 5398 5.009 5.009
6 5 595 3677 5398 4.765 4.765
1 2 38 3678 1689 4.717 4.717
2 5 474 3678 1689 6.126 6.126
2 2 628 3679 10491 5.484 -0.799
1 2 627 3680 10490 0.484 6.767
2 3 628 3680 10490 4.101 4.101
3 5 667 3680 10490 1.518 1.518
4 4 585 3680 10490 4.927 4.927
1 2 632 3681 3334 3.566 3.566
2 5 629 3681 3334 4.752 4.752
1 2 642 3682 3333 2.463 2.463
2 4 638 3682 3333 0.124 6.408
3 4 675 3682 3333 4.678 4.678
4 5 586 3682 3333 4.862 4.862
5 5 616 3682 3333 2.932 2.932
6 4 610 3682 3333 0.906 0.906
6 4 607 3682 3333 3.044 3.044
6 5 609 3682 3333 4.946 4.946
6 4 608 3682 3333 5.889 5.889
6 5 252 3682 3333 3.490 3.490
1 2 636 3683 5397 0.367 0.367
2 5 629 3683 5397 1.347 1.347
3 4 671 3683 5397 3.270 3.270
1 2 627 3684 5396 1.892 1.892
2 3 628 3684 5396 1.695 1.695
3 5 667 3684 5396 0.818 0.818
4 4 585 3684 5396 2.942 2.942
5 4 586 3684 5396 0.123 0.123
6 4 597 3684 5396 0.088 0.088
1 2 632 3685 1688 4.167 4.167
2 5 629 3685 1688 3.110 3.110
3 4 637 3685 1688 4.667 4.667
4 5 616 3685 1688 1.935 1.935
1 2 627 3686 5395 1.266 7.549
2 5 636 3686 5395 0.248 6.531
3 5 667 3686 5395 5.104 5.104
1 2 632 3687 5394 3.090 3.090
2 4 629 3687 5394 0.839 0.839
1 2 491 3688 5393 4.627 -1.656
2 4 640 3688 5393 1.283 1.283
2 4 503 3688 5393 0.208 0.208
3 3 657 3688 5393 2.464 2.464
1 2 642 3689 5392 6.147 6.147
2 4 638 3689 5392 4.766 4.766
1 2 632 3690 10489 2.326 2.326
1 2 627 3691 5391 3.903 3.903
2 4 628 3691 5391 1.216 1.216
1 2 632 3692 5390 6.256 6.256
1 1 37 3693 2306 2.479 8.763
1 4 490 3693 2306 2.403 2.403
2 5 474 3693 2306 3.237 3.237
3 3 35 3693 2306 4.790 4.790
3 3 495 3693 2306 3.806 3.806
1 2 474 3694 5389 0.305 0.305
2 3 35 3694 5389 0.104 0.104
1 2 490 3695 2305 5.776 5.776
1 2 491 3696 5388 2.570 2.570
2 3 653 3696 5388 6.269 6.269
3 4 641 3696 5388 4.732 4.732
3 4 642 3696 5388 3.771 3.771
4 4 638 3696 5388 5.418 5.418
6 5 667 3696 5388 4.967 4.967
6 4 585 3696 5388 3.920 3.920
6 4 586 3696 5388 1.641 1.641
1 2 627 3697 1687 2.337 2.337
2 4 628 3697 1687 4.643 4.643
1 1 487 3698 1315 2.176 8.459
1 3 490 3698 1315 5.593 5.593
1 2 481 3699 10488 2.100 2.100
1 3 648 3699 10488 2.218 2.218
1 2 491 3700 3332 3.768 3.768
1 4 640 3700 3332 3.325 3.325
2 4 641 3700 3332 2.489 2.489
3 5 631 3700 3332 1.829 1.829
4 4 636 3700 3332 5.163 5.163
1 2 627 3701 3331 0.402 6.685
2 4 628 3701 3331 3.591 3.591
3 5 629 3701 3331 4.372 4.372
4 4 671 3701 3331 3.650 3.650
5 4 614 3701 3331 1.259 1.259
5 4 615 3701 3331 5.137 5.137
2 2 637 3702 2304 1.750 1.750
3 5 585 3702 2304 0.497 0.497
4 4 586 3702 2304 5.164 -1.119
5 5 587 3702 2304 3.869 3.869
6 4 598 3702 2304 1.361 1.361
6 4 590 3702 2304 4.075 4.075
6 3 591 3702 2304 0.976 0.976
6 3 150 3702 2304 2.079 2.079
1 2 627 3703 5387 4.887 4.887
2 3 628 3703 5387 5.122 5.122
3 5 629 3703 5387 3.592 3.592
2 2 632 3704 5386 0.448 6.731
1 1 487 3705 3330 5.293 5.293
1 4 490 3705 3330 4.764 4.764
1 2 494 3706 5385 4.268 4.268
2 5 34 3706 5385 6.148 6.148
3 4 626 3706 5385 3.882 3.882
3 4 504 3706 5385 2.560 2.560
4 4 627 3706 5385 4.766 4.766
5 4 628 3706 5385 3.398 3.398
1 2 672 3707 10487 3.907 3.907
5 5 678 3707 10487 3.659 3.659
1 2 632 3708 10486 4.480 4.480
2 5 629 3708 10486 4.391 4.391
3 4 637 3708 10486 5.504 5.504
3 4 618 3708 10486 5.056 5.056
4 4 615 3708 10486 3.250 3.250
5 4 594 3708 10486 2.853 2.853
5 3 605 3708 10486 1.496 1.496
6 4 609 3708 10486 4.969 4.969
1 2 627 3709 10485 5.839 5.839
2 3 628 3709 10485 5.831 5.831
1 2 627 3710 5384 4.201 4.201
2 3 628 3710 5384 0.568 6.851
4 5 674 3710 5384 5.091 5.091
4 3 585 3710 5384 4.413 4.413
5 4 586 3710 5384 3.061 3.061
1 2 627 3711 1314 5.036 5.036
2 5 632 3711 1314 2.045 2.045
3 4 637 3711 1314 4.173 4.173
4 3 634 3711 1314 1.786 1.786
1 2 627 3712 1054 3.925 3.925
2 4 638 3712 1054 3.870 3.870
3 5 667 3712 1054 4.043 4.043
1 2 636 3713 5383 0.191 0.191
2 4 629 3713 5383 3.767 3.767
1 2 499 3714 2303 1.893 1.893
2 4 502 3714 2303 2.400 2.400
1 2 627 3715 10484 4.992 4.992
2 4 628 3715 10484 3.753 3.753
4 5 671 3715 10484 2.637 2.637
5 5 616 3715 10484 2.514 2.514
6 4 610 3715 10484 4.092 4.092
6 4 607 3715 10484 5.086 5.086
1 2 642 3716 10483 0.488 0.488
1 2 642 3717 3329 4.818 4.818
2 4 638 3717 3329 4.958 4.958
1 2 642 3718 5382 3.666 3.666
2 4 638 3718 5382 5.920 5.920
3 4 675 3718 5382 5.784 5.784
3 4 674 3718 5382 4.217 4.217
6 5 602 3718 5382 0.114 6.398
1 2 627 3719 10482 3.203 3.203
2 3 628 3719 10482 1.350 1.350
1 2 632 3720 5381 1.341 1.341
1 1 487 3721 3328 0.698 6.982
1 3 490 3721 3328 3.373 3.373
2 4 474 3721 3328 2.456 2.456
3 5 33 3721 3328 3.524 3.524
4 5 491 3721 3328 4.133 4.133
5 4 36 3721 3328 3.024 3.024
6 4 503 3721 3328 0.960 0.960
1 2 491 3722 3327 2.322 2.322
2 4 640 3722 3327 0.062 0.062
3 5 642 3722 3327 3.656 3.656
4 4 638 3722 3327 3.788 3.788
4 4 675 3722 3327 3.797 3.797
5 4 667 3722 3327 5.443 -0.841
6 4 585 3722 3327 2.188 2.188
6 4 601 3722 3327 0.704 0.704
1 2 642 3723 2302 3.106 3.106
2 4 638 3723 2302 2.612 2.612
4 5 585 3723 2302 2.586 2.586
1 2 657 3724 3326 6.247 6.247
2 4 632 3724 3326 3.253 3.253
3 4 660 3724 3326 4.232 4.232
4 5 585 3724 3326 6.063 6.063
1 2 503 3725 2301 1.617 1.617
1 3 657 3725 2301 4.981 4.981
2 4 627 3725 2301 0.636 0.636
3 5 629 3725 2301 0.737 0.737
4 4 637 3725 2301 1.228 1.228
5 4 618 3725 2301 5.087 -1.196
5 4 615 3725 2301 2.808 2.808
1 2 627 3726 10481 3.886 3.886
2 4 628 3726 10481 4.058 4.058
3 5 667 3726 10481 1.345 1.345
1 2 642 3727 3325 4.801 4.801
2 4 633 3727 3325 4.303 4.303
1 2 636 3728 3324 3.693 3.693
2 5 667 3728 3324 1.861 1.861
1 2 505 3729 10480 1.377 1.377
2 4 494 3729 10480 2.234 2.234
1 2 627 3730 10479 2.816 2.816
2 3 628 3730 10479 4.813 4.813
2 4 691 3730 10479 1.118 1.118
1 2 657 3731 10478 5.300 5.300
1 2 627 3732 10477 4.679 4.679
2 3 628 3732 10477 3.721 3.721
1 2 636 3733 10476 2.795 2.795
2 4 667 3733 10476 1.750 1.750
1 2 627 3734 10475 4.668 4.668
2 4 628 3734 10475 1.791 1.791
3 5 675 3734 10475 5.471 5.471
4 5 585 3734 10475 3.171 3.171
1 2 31 3735 3323 0.440 6.723
2 5 474 3735 3323 4.930 4.930
3 3 35 3735 3323 3.202 3.202
3 3 495 3735 3323 0.183 6.466
4 4 499 3735 3323 3.952 3.952
5 4 502 3735 3323 0.170 6.453
6 3 630 3735 3323 1.365 7.648
6 4 631 3735 3323 5.177 5.177
6 4 632 3735 3323 4.915 4.915
2 2 638 3736 10474 6.046 6.046
3 5 667 3736 10474 2.747 2.747
4 4 586 3736 10474 4.043 4.043
5 3 618 3736 10474 2.238 2.238
5 4 615 3736 10474 0.968 7.251
1 2 632 3737 10473 3.708 3.708
1 2 636 3738 10472 2.394 2.394
3 5 618 3738 10472 2.250 2.250
4 4 615 3738 10472 5.551 5.551
6 5 595 3738 10472 4.271 4.271
6 3 589 3738 10472 0.967 0.967
6 4 596 3738 10472 5.739 5.739
6 4 252 3738 10472 3.072 3.072
6 3 253 3738 10472 4.283 4.283
1 2 632 3739 2300 0.440 6.724
2 5 629 3739 2300 6.104 6.104
1 2 33 3740 2299 2.634 2.634
2 4 34 3740 2299 5.380 5.380
3 4 626 3740 2299 4.704 4.704
3 4 504 3740 2299 4.802 4.802
4 4 627 3740 2299 4.181 4.181
5 3 628 3740 2299 4.727 4.727
5 4 636 3740 2299 2.717 2.717
6 4 637 3740 2299 5.352 5.352
1 2 491 3741 10471 3.402 3.402
3 5 642 3741 10471 2.636 2.636
3 4 638 3741 10471 5.162 5.162
1 2 642 3742 1313 4.049 4.049
2 4 627 3742 1313 4.392 4.392
4 5 634 3742 1313 2.771 2.771
5 4 614 3742 1313 0.954 0.954
1 2 642 3743 3322 1.596 1.596
2 4 638 3743 3322 2.355 2.355
3 5 667 3743 3322 4.799 4.799
4 4 585 3743 3322 5.805 5.805
5 4 601 3743 3322 3.872 3.872
5 3 602 3743 3322 4.941 4.941
6 4 587 3743 3322 4.667 4.667
2 2 628 3744 10470 4.202 4.202
3 5 667 3744 10470 4.023 4.023
1 2 38 3745 10469 4.422 4.422
2 4 494 3745 10469 2.420 2.420
2 4 495 3745 10469 4.583 4.583
3 4 499 3745 10469 2.732 2.732
4 4 635 3745 10469 2.256 2.256
1 2 627 3746 5380 5.870 5.870
2 3 628 3746 5380 5.748 5.748
3 5 667 3746 5380 2.359 2.359
4 4 586 3746 5380 2.509 2.509
5 5 616 3746 5380 4.245 4.245
1 2 627 3747 5379 3.702 3.702
2 4 628 3747 5379 0.222 0.222
2 4 691 3747 5379 3.549 -2.734
3 5 674 3747 5379 3.394 3.394
4 4 585 3747 5379 5.569 5.569
5 4 586 3747 5379 0.646 0.646
1 2 642 3748 5378 5.055 5.055
1 2 627 3749 5377 3.716 3.716
2 5 691 3749 5377 5.164 -1.119
3 4 667 3749 5377 2.783 2.783
4 5 585 3749 5377 1.477 1.477
6 5 610 3749 5377 5.649 -0.634
1 2 627 3750 3321 3.425 3.425
2 4 628 3750 3321 1.042 1.042
3 5 629 3750 3321 2.305 2.305
4 4 637 3750 3321 1.553 1.553
1 2 498 3751 10468 2.702 2.702
